respondiente_id,fecha_envio,genero,edad_rango,situacion_actual,nivel_estudios,sector_residencia,tipo_actor,pertenece_agrupacion,identidad_local,fortaleza_comunal,oportunidad,debilidad,amenaza,nota_atencion_presencial,nota_atencion_digital,idea_innovadora,es_nna
CIU011,23/10/2025,Mujer,60 años o más,Trabajando de manera independiente o informal,Educación técnico-profesional incompleta,11. Rengo Urbano,"Público,",No,Muy fuerte,Comercio,,,,5.0,4.0,,0
CIU012,23/10/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Su gente.,Nada.,Trabajo,Desempleo,4.0,3.0,Traspatencia.,0
CIU013,23/10/2025,Mujer,30–44 años,Buscando empleo,Educación universitaria completa,11. Rengo Urbano,"Político, Cultural, Medio Ambiental, Social comunitaria",No,Débil,Espacios para proyectarse (territorio),Espacios para proyectarse (territorio),Distribución de recursos no acorde a promover calidad de vida de las y los ciudadanos.,Distribución de recursos no acorde a promover calidad de vida de las y los ciudadanos.,3.0,3.0,"Educación al personal en buen trato, habilidades sociales y blandas, para que sean promotores del buen trato al usuario.",0
CIU014,23/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,Público,No,Fuerte,,.,Enfocarce mas en la salud publica y quienes atienden cada lugar,.,5.0,5.0,.,0
CIU015,23/10/2025,Hombre,18–29 años,Estudiando,Educación universitaria incompleta,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Tranquilidad y conectividad,Fortalecer los hitos turísticos,Los campamentos y tomas que se encuentran en la comuna,Una ciudad muy colapsada,2.0,1.0,"Mejora en el proceso de documentos, toquens automatizados para pago y documentos",1
CIU016,23/10/2025,Hombre,60 años o más,Trabajando con contrato formal,Educación media completa,"11. Rengo Urbano,","Político, Cultural",Sí,Débil,,,,,2.0,2.0,,0
CIU017,23/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,Su gente,Su agua,Extranjeros,Control de inmigrantes,4.0,4.0,Más atención personalizada para audiencias con el alcalde,0
CIU018,23/10/2025,Mujer,60 años o más,Trabajando de manera independiente o informal,Educación universitaria incompleta,Hacienda Las Palmas 2,Privado Empresarial,No,Muy débil,Seguridad,Digitalizacion,Desafío emprendedor,Exceso de campamentos con inmigrantes,3.0,4.0,"Tarjeta Rengo vecino  , con empadronamiento de los vecinos y acceso e información a todos los eventos y actividades generadas por la municipalidad",0
CIU019,23/10/2025,Mujer,18–29 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,Público,No,Débil,Sector de naturaleza con ríos bosques y caminos para poder hacer deporte o recreación,Centros comerciales de comida y Micro empresas locales,"Tráfico, plazas vecinales",La delicuencia y venta de drogas en diferentes puntos de Rengo,5.0,4.0,Tener un día a la semana horarios de atención en la tarde para aquellas personas que requieran de atención o realizar un trámite y que por motivos laborales no pueden realizar,1
CIU020,23/10/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación universitaria completa,11. Rengo Urbano,"Político, Socieda Civil (Junta de vecinos, COSOC)",Sí,Muy débil,,Conectividad Ferroviaria,Desarrollo industrial,Desprotección del entorno natural y sus recursos.,3.0,2.0,Seguimiento on line de trámites,0
CIU021,23/10/2025,Hombre,45–59 años,Trabajando de manera independiente o informal,Educación técnico-profesional incompleta,11. Rengo Urbano,Público,Sí,Muy fuerte,Natural y cultural,Para innovar se puede hacer a través de la cultura,Falta de trabajo en el invierno y no que tengan que buscar en otras ciudades o regiones,De que no hay fuente de trabajo en el invierno,4.0,4.0,De que el alcalde tenga un día en la semana para casos especiales que requieran de su persona,0
CIU022,23/10/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación media incompleta,"11. Rengo Urbano,",Público,Sí,Fuerte,Atento a los vecinos,Turismo,La poca oportunidad de trabajo,Delincuentes,5.0,3.0,No tanta burocracia,0
CIU023,23/10/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación universitaria completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Fundación",Sí,Muy débil,Comuna pequeña y es posible generar sinergia,Comuna de fácil acceso y cercana a la capital,La escasa participación de la ciudadanía en la determinación de las políticas públicas comunales,Que la administración municipal tiene un sello asisrtencialista,2.0,1.0,Que se generen protocolos de atención y sean debidamente socializado con la comunidad,0
CIU024,23/10/2025,Mujer,30–44 años,Buscando empleo,Educación universitaria incompleta,11. Rengo Urbano,Ninguna,Rara vez,Débil,Agricultura,Empresa,Cuidad dormitorio,Gente de Santiago,4.0,4.0,Gente con vocación y con estudios,0
CIU025,23/10/2025,Mujer,45–59 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Privado Empresarial, Cultural",Sí,Débil,Su gente,Agricola,Limpieza en espacios públicos,La contratacion de mano de obra extranjera en el area agricola,2.0,3.0,,0
CIU026,23/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Recursos culturales y redes de colaboración,"Reciclaje capacitando a los ciudadanos en cultura y diferentes temas (adopción responsable de las costas, que hacer con los residuos al reciclarlos, ideas del uso de material reciclado, etc)","Generar conciencia en las personas de diferentes temas como reciclaje, adopción de mascotas responsables, entre otras no se genera la instancia de culturizar a la gente en nada no podemos avanzar si l","La delincuencia, la sobrepoblación y el abandono de mascotas",3.0,1.0,Capacitar a los funcionarios con respecto a la atención de público,0
CIU027,23/10/2025,Hombre,60 años o más,Jubilado(a) o pensionado(a),Educación universitaria completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,Rengo tiene una gran cantidad de habitantes,Tiene viñas y buenos cerros para hacer deportes,Poca educación de su población,rencillas políticas,4.0,2.0,"Habilitar estacionameientos en la estación de trenes, en el espacio que se encuentra en el poniente.",0
CIU028,23/10/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),"Postgrado (magíster, doctorado u otro)",11. Rengo Urbano,"Político, Cultural",Sí,Muy débil,Agua del Río Claro desarrollo,Desarrollo turístico y cultural,La contaminación ambiental de aguas y aire por productos agrícolas tóxicos,El desborde de río claro,3.0,1.0,Capacitación en atención de clientes,0
CIU029,23/10/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación básica completa,Los cesares,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,,,Seguridad,,4.0,3.0,,0
CIU030,23/10/2025,Mujer,45–59 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Dirigentes vecinales,Espacios públicos,Inseguridad,Delincuencia,3.0,3.0,Agendar la visita al departamento que corresponda y así se evitarías no volver nuevamente para que sea atendido,0
CIU031,23/10/2025,Mujer,45–59 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Alcalde y concejales que hoy están más comprometidos,Los recursos que lleguen y sean bien distribuidos,Que los mismos renguinos seamos más comprometidos con nuestra ciudad. Animar con oportunidades en todas las áreas,"La delincuencia, robos de autoridades públicas, engaño",3.0,5.0,Los empleados entreguen bien la información de algún trámite al ciudadano y no miren en menos,0
CIU032,23/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación universitaria completa,11. Rengo Urbano,"Público, Religioso",Sí,Débil,Buena administración pública,Incluir tecnologías,Unión entre sus habitantes,La inseguridad,5.0,5.0,Cursos para los emprendedores,0
CIU033,23/10/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,No lo sé,Aún no  visibilizo y camino a menudo en las poblaciones y áreas de la comuna.,En este momento ninguna,El desempleo,"Los trabajos temporales ya que con esto debilita la situación socio económico de la comuna y esto trae deserción escolar y los jóvenes no logran avanzar hacia un futuro más próspero, por ende estas de",3.0,3.0,"Lo primero sería capacitar al personal que trabaja en el municipio ya que la idea no la tienen clara ya que es ""servidor público"" y no ""servirse del público"" hay muchos trabajadores que les falta empatia, comprensión y acción",0
CIU034,23/10/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación media completa,11. Rengo Urbano,Público,No,Fuerte,Espacios y áreas verdes de recreación familiar,Faltan centros comerciales,"Medios de transportes urbanos, que no sean colectivos",Comercio ambulante,4.0,3.0,,0
CIU035,23/10/2025,Hombre,45–59 años,Jubilado(a) o pensionado(a),Educación técnico-profesional completa,11. Rengo Urbano,Religioso,No,Débil,Ubicación geografica,Tecnología,Educacion,Delincuencia y narcotrafico,2.0,3.0,,0
CIU036,23/10/2025,Mujer,60 años o más,Dedicado(a) a labores del hogar o cuidados familiares,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,Identidad,Unidad,Seguridad,Extranjeros,4.0,3.0,Atencion y reuniones,0
CIU037,23/10/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación media completa,11. Rengo Urbano,"Público, Ong 21 sueños inclusivos",Sí,Débil,Buenas infraestructura y espacios publicos,Infraestructuras tecnilogicas,"Inclusión social,",Delincuencia,1.0,1.0,Más empatía con el público. Personal empático con adultos mayores y discapacidad,0
CIU038,23/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",No,Débil,Su geografía,Un cine,Tráfico de drogas,Los inmigrantes,3.0,3.0,Más viviendas,0
CIU039,23/10/2025,Hombre,30–44 años,Trabajando con contrato formal,Educación universitaria completa,9. Rosario,"Socieda Civil (Junta de vecinos, COSOC)",No,Débil,Trabajo agricola,Tomate,Infraestructura vial,Delincuencia,3.0,3.0,Mas digitalización,0
CIU040,23/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,Viñedos de rengo nueva villa,Vivo acá,No,Débil,Pueblo muy lindo,El vino,"La limpieza, más areas verdes y más carabineros",La delincuencia y venta de drogas,4.0,3.0,Más agilidad y mayor importancia a las situaciones que se presentan,0
CIU041,23/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,Cultural,No,Débil,Unidos,Ferias,burocracia,Favoritismos,1.0,1.0,Menos pititos y más gente haciendo la pega,0
CIU042,23/10/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación media incompleta,9. Rosario,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Municipalidad,Mas posibilidades de trabajo,Los  campanentos el trafico de droga y los emigrantes,La delincuencia y el trafico de droga,4.0,4.0,,0
CIU043,23/10/2025,Mujer,45–59 años,Cesante,Educación media completa,11. Rengo Urbano,Orden y Seguridad,Rara vez,Fuerte,Comercio,"Un moll , un supermercado accesible , como un líder, puestos de trabajo , empresas  para mayores oportunidades de trabajo,",Más  empleo y mejor remunerado,"No tenemos  o universidad  o institutos en rengo , tomando en cuenta q soy el único sustento y con  2 Hijos estudiando",4.0,2.0,"Más recursos económicos para los usuarios  como camarotes ,  o 1gas mensual x familia en invierno",0
CIU044,23/10/2025,Hombre,18–29 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación media completa,11. Rengo Urbano,Público,No,Débil,PDI,"Más conectividad, transporte(buses eléctricos)","Los campamentos, la gente debe tener casa propia no estar en la calle o tomas.","Machismo, no hay trabajos para mujeres en guardias de seguridad",2.0,2.0,"Mejor trasporte público y buses grandes para que las personas con discapacidad puedan subir por rampla ya que los mini buses no lo tienen, mejoría de la estación de tren de Rengo con plataformas altas no bajas y no de metal, que los condóminos no estén junto alas poblaciones que astros, un nuevo cen",1
CIU045,23/10/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,Cultural,No,Fuerte,Su gente,Apoyo,Delincuencia seguridad delincuencia,,4.0,4.0,,0
CIU046,23/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,Público,Rara vez,Débil,,,Educación,Delincuencia,3.0,4.0,,0
CIU047,23/10/2025,Hombre,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,10. Esmeralda,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,,,Salud recreacion,La internacion de santiaguinos a las nuevas poblaciónes,3.0,3.0,Renovación de personal..capacitaciones al personal de atencion al publico,0
CIU048,23/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,Privado Empresarial,Sí,Débil,Actividades deportivas,La frutas,Establecimientos educativos particulares,Transporte,3.0,1.0,Actualización online hay muchos tramites q solo se pueden hacer presencial,0
CIU049,23/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,Público,No,No lo sé,La gente,,La delincuencia,La delincuencia,4.0,1.0,Pago de la basura on line,0
CIU050,23/10/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación universitaria incompleta,11. Rengo Urbano,Privado Empresarial,No,Fuerte,,,,,3.0,3.0,Pago de todo en línea más que ir a caja,0
CIU051,23/10/2025,Hombre,60 años o más,Jubilado(a) o pensionado(a),Educación técnico-profesional completa,11. Rengo Urbano,"Público,",Rara vez,Fuerte,Su infraestructura,"Más empresas,que den empleo a la comuna","Ciudad dormitorio,falta universidad para darle vida ala comuna","Migración no controlada,produce problemas ,salud ,vivienda,empleo,es un problema pais",3.0,4.0,,0
CIU052,24/10/2025,Mujer,60 años o más,Trabajando de manera independiente o informal,Educación técnico-profesional completa,Villa Oriente,Club adulto mayor,Sí,Débil,,,,,4.0,4.0,Horario de atención al público,0
CIU053,24/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,Los césares molino,Ninguna,Sí,Débil,La COMUNIDAD escolar,Los colegios los centros comunitarios  las empresas participacion con la comunidad.,Los Servicios de Salud - falta inclusión y atención de niños con necesidades Especiales y Condiciones Neurodiversas - enfoque a los jóvenes y fortalecer el deporte y la educación para evitar la deserc,La Delincuencia las drogas y los migrantes ilegales.,3.0,3.0,,0
CIU054,24/10/2025,Hombre,18–29 años,Trabajando con contrato formal,Educación universitaria completa,Portones,Ninguno,No,Fuerte,Lugar turistico,"Lugares recreacionales, se podria colocar un cine",Falta de zonas recreacionales,Indigentes y hurtos,4.0,4.0,No he interactuado con el municipio,1
CIU055,24/10/2025,Mujer,45–59 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC)",Sí,Muy débil,Es en general una ciudad hermosa ..la entrada a rengo su plaza de armas entre otras  lo que hace de esta ciudad un lugar agradable para vivir,Rengo es una ciudad hermosa y se podrian hacer proyectos para desarrollar turismo,"Han aumentado mucho los tacos, que se vean mas limpios y mas expedita la atencion en cesfam en algunas zonas la iluminacion y fomentar el desarrollo del comercio hacia otra calles para tener posibilid",El aumento excesivo de mall chinos,2.0,2.0,"Aprovechar la nueva ley para sacar el exceso de cables que contaminan el paisaje, recuperar los sitios abandonados, modernizar la luminaria, aumentar plazas con maquinas para fomentar el ejercico",0
CIU056,24/10/2025,Mujer,60 años o más,Dedicado(a) a labores del hogar o cuidados familiares,Educación media completa,11. Rengo Urbano,Religioso,Sí,No lo sé,Seguridad,Más trabajo,La falta de empleo,Que aumente la delincuencia,3.0,2.0,,0
CIU057,24/10/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Orden y Seguridad",Sí,Débil,El comercio,La agricultura,La salud,La delincuencia,1.0,1.0,Que las autoridades salieran más a terreno a ver las nesecidades de los vecinos,0
CIU058,24/10/2025,Hombre,30–44 años,Estudio y trabajo,Educación universitaria incompleta,11. Rengo Urbano,N/A,No,Fuerte,Las fiestas culturales y sus folklores,"Innovar como la primera comuna verde de chile de los 3 R , reducir, reciclar, reutilizar",Respuesta rápida en área de seguridad,"Tema como los campamentos  puede ser no atractiva para la comuna a nivel nacional como para vivir, internacional como perjudicar a nivel de turismo",5.0,4.0,Tener una aplicación móvil muy practico para hacer todos los trámites porque aveces complica ir presencial hacerlo por trabajo,0
CIU059,24/10/2025,Hombre,60 años o más,Trabajando de manera independiente o informal,Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC),",Sí,Débil,Buena. Conectividad. Con. Santiago y el. Metrotren,Fomentar. El. Turismo a la. Cordillerafalta,Falta. Que. Lleguen. Empresas a la. Comuna,El. Narcotrafico de las  drogas,3.0,3.0,Cabildo. Abierto con las. Juntas. De.  Vecinos con. Presencia. Del. Alcalde,0
CIU060,24/10/2025,Hombre,30–44 años,Buscando empleo,Educación universitaria completa,10. Esmeralda,Público,No,Débil,,economía,medio ambiental,Delicuencias,3.0,3.0,"Participación social, más capacitaciones en liderazgos para los dirigentes sociales",0
CIU061,24/10/2025,Hombre,Menos de 18 años,Estudiando,Educación básica incompleta,10. Esmeralda,Deportivo,No,Débil,Envias de desarrollo,Economia,La salud,La delincuencia,4.0,3.0,,1
CIU062,25/10/2025,Mujer,45–59 años,Trabajando con contrato formal,"Postgrado (magíster, doctorado u otro)",11. Rengo Urbano,Público,Sí,Fuerte,Identidad,Empleo,Seguridad,Contaminación,4.0,3.0,"Mejorar las veredas y calles de los alrededores, Marzant, Calle manuel Baquedano, Mejorar las Plazas. Mejorar infraestmtructura  y recursos de escuelas rurales.",0
CIU063,27/10/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación media incompleta,11. Rengo Urbano,Privado Empresarial,No,Débil,Ninguna,No se,Seguridad y aseo,Delincuentes,3.0,3.0,,0
CIU064,27/10/2025,Hombre,Menos de 18 años,Estudiando,Educación media incompleta,9. Rosario,"Religioso, Deportivo",Rara vez,Débil,actividades físicas tanto como el cariño del pueblo,Traer cine y o malls eso falta y más oportunidades de trabajos  y más supermercados a lo largo de la comuna,La seguridad la recuperación de espacios públicos  la mejora en la educación media y básica y más casas porque a muchos les falta una casa propia,La seguridad y la educación ya no se puede salir a la calle y tampoco estudiar porque no hay seguridad en ambas,3.0,5.0,Sacar a los corruptos y mejorar la atención lo digo porque a mí mamá aún no le pagan y ahí corruptos que aún están robando plata,1
CIU065,28/10/2025,Mujer,30–44 años,Estudiando,Educación media completa,11. Rengo Urbano,Público,No,Débil,"La nueva organización que posee el municipio, el hecho de que los vecinos y vecinas están siendo escuchados como se debería","Programas y oportunidades para adolescentes, relacionado en el ámbito del consumo problemático de drogas y alcohol y recuperar espacios para la seguridad y desarrollo de actividades referentes a este",Visibilidad social,La seguridad local y de las comunidades en sí,2.0,1.0,,0
CIU066,28/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Privado Empresarial, Cultural",Sí,No lo sé,Ubicacion privilegiada,sector turistico,muy enchapado a la antigua,ciudad dormitorio,4.0,2.0,"Optimizar la gestion de recursos para abrir nuevos centros culturales o de desarrollo cultural en la comuna. Recuperar el teatro, convertir misiones de rengo en un parque publico y no en un mall.",0
CIU067,29/10/2025,Mujer,45–59 años,Trabajando de manera independiente o informal,Educación media completa,11. Rengo Urbano,Público,Rara vez,Débil,Sus rios,Turismo,Calles en mal estado o incompletas,Los campamentos,1.0,1.0,"Que las personas que trabajan detras de un escritorio,  sean mas cordiales, empaticas y den respuestas completas o guiar con claridad ,los pasos a seguir. Ademas de informar los beneficios, ya que son muy desconocidos para la gran mayoría.",0
CIU068,30/10/2025,Mujer,45–59 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación media incompleta,14. San Jorge,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,La agricultura,"conectividad, más empleo","Los sectores rurales, falta darle dignidad a la gente , todos los caminos aún con tierra  nos falta asfalto, conectividad, aún sin internet","La seguridad, pocos recursos a carabineros",4.0,5.0,,0
CIU069,30/10/2025,Mujer,60 años o más,Trabajando con contrato formal,Educación media completa,9. Rosario,"Socieda Civil (Junta de vecinos, COSOC), Cultural",Sí,Fuerte,El alcalde Enrique del Barrio,La universidad en rengo,"El centrismo , rengo tiene muchas localidades que deben también priorizarse.",Le llegada de inmigrantes.,4.0,3.0,Que se hagan reuniones con el alcalde y directores en las localidades de la comuna .,0
CIU070,30/10/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación técnico-profesional incompleta,14. San Jorge,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Nada,Poner alcantarillado atodos los secretores rurales,Dar y regulasar los terrenos rurales,La drogadicción y los extranjeros,2.0,1.0,,0
CIU071,30/10/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación media completa,9. Rosario,"Socieda Civil (Junta de vecinos, COSOC), Cultural",Sí,Débil,Agricultura,Más desarrollo en las localidades y que no solo sea en la capital comunal,Más inversión en las localidades,Lento desarrollo de las comunidades,3.0,3.0,Más educación a la ciudadanía con respecto a donde y con quién ir para buscar soluciones,0
CIU072,7/11/2025 ,Hombre,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Deportivo",Sí,Fuerte,"Espacios deportivos, en escuelas deportivas",Deporte,Hoteleria para el turista,"Delicuencia, inseguridad",4.0,4.0,"Pantallas led en partes de Rengo, dando a conocer noticias actuales municipales",0
CIU073,7/11/2025 ,Hombre,60 años o más,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Religioso",Sí,Débil,La ubicacion de la comuna,Su ubicacion dentro de la region,la formacion de sus habitantes,La poca formacion como ciudadanos y dirigentes,3.0,4.0,La comunicacion y la calidad de la informacion,0
CIU074,7/11/2025 ,Hombre,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Deportivo",Sí,Fuerte,Los niños deportistas,Deporte,Seguridad,Seguridad,4.0,3.0,Acercarse mas a la gente,0
CIU075,7/11/2025 ,Mujer,30–44 años,Buscando empleo,Educación técnico-profesional completa,Población gregorio Araya,"Socieda Civil (Junta de vecinos, COSOC), Deportivo",Sí,Fuerte,Turismo,Recreación,Motivación,Poco comercio y lugares de recreación,2.0,2.0,"Mejores atenciones, más disponibilidad en sus trabajos",0
CIU076,7/11/2025 ,Mujer,45–59 años,Jubilado(a) o pensionado(a),"Postgrado (magíster, doctorado u otro)",11. Rengo Urbano,"Público, Medio Ambiental",Sí,Débil,,Existen excelentes funcionarios que hacen muy bien en trabajo en sus archivos áreas.,En educación los directivos a cargos que no fueron elegidos por meritocracia.,"La delincuencia por extranjeros, la droga.",5.0,4.0,,0
CIU077,7/11/2025 ,Hombre,45–59 años,Buscando empleo,Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), dueño de casa",Sí,Débil,,,,,4.0,4.0,,0
CIU078,8/11/2025 ,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación universitaria completa,11. Rengo Urbano,"Público,",Sí,Débil,Ninguna,Ninguna,Seguridad,"Poco resguardo policial , no seguridad ciudadana que solo se pasea por rengo siendo despotas",3.0,4.0,,0
