respondiente_id,pregunta_id,pregunta,respuesta,genero,edad_rango,localidad_residencia
NNA002,P18,¿Qué lugares visitas más en tu comuna?,Plazas o parques,Mujer,14 a 18,PORTEZUELO
NNA002,P19,¿Qué cosas te hacen sentir feliz en tu barrio o comuna?,La naturaleza,Mujer,14 a 18,PORTEZUELO
NNA002,P20,¿Qué problemas o cosas negativas notas donde vives?,Mal estado de calles,Mujer,14 a 18,PORTEZUELO
NNA002,P21,¿Cómo calificas la limpieza y orden de tu barrio?,Aceptable,Mujer,14 a 18,PORTEZUELO
NNA002,P22,¿Participas en actividades del municipio o tu colegio?,"Sí, frecuentemente",Mujer,14 a 18,PORTEZUELO
NNA002,P23,¿Dónde te gusta pasar tu tiempo libre?,En casa,Mujer,14 a 18,PORTEZUELO
NNA002,P24,¿Qué tanto te sientes escuchado/a por los adultos?,A veces,Mujer,14 a 18,PORTEZUELO
NNA002,P25,¿Qué calificación le pondrías a tu comuna como lugar para vivir?,4.0,Mujer,14 a 18,PORTEZUELO
NNA002,P26,¿Cómo era tu barrio cuando eras más pequeño/a?,Más tranquilo,Mujer,14 a 18,PORTEZUELO
NNA002,P27,¿Dónde jugabas cuando eras pequeño/a?,En el patio de mi casa,Mujer,14 a 18,PORTEZUELO
NNA002,P28,¿Con quién pasabas más tiempo cuando eras niño/a?,Con familia,Mujer,14 a 18,PORTEZUELO
NNA002,P29,¿Qué cosas te hacían feliz antes?,Naturaleza,Mujer,14 a 18,PORTEZUELO
NNA002,P30,¿Qué cosas no te gustaban cuando eras pequeño/a?,Peligro o inseguridad,Mujer,14 a 18,PORTEZUELO
NNA002,P31,¿Participabas en actividades escolares o municipales?,Sí,Mujer,14 a 18,PORTEZUELO
NNA002,P32,¿Qué lugares de Rengo te gustaban más antes?,Calles,Mujer,14 a 18,PORTEZUELO
NNA002,P33,¿Qué cambios has notado desde entonces?,Menos áreas verdes,Mujer,14 a 18,PORTEZUELO
NNA002,P34,¿Crees que tu barrio cambió para mejor o peor?,Para mejor,Mujer,14 a 18,PORTEZUELO
NNA002,P35,¿Qué recuerdos bonitos guardas de antes?,Familia,Mujer,14 a 18,PORTEZUELO
NNA002,P36,¿Qué sientes al ver esta imagen?,Tranquilidad,Mujer,14 a 18,PORTEZUELO
NNA002,P37,¿Cómo te gustaría que fuera tu comuna en el futuro?,Más segura,Mujer,14 a 18,PORTEZUELO
NNA002,P38,¿Qué espacios nuevos te gustaría tener cerca?,Centros juveniles,Mujer,14 a 18,PORTEZUELO
NNA002,P39,¿Qué actividades te gustaría que existieran para jóvenes?,Voluntariado,Mujer,14 a 18,PORTEZUELO
NNA002,P40,¿Qué tipo de transporte te gustaría usar en el futuro?,Tren,Mujer,14 a 18,PORTEZUELO
NNA002,P41,¿Cómo imaginas tu barrio ideal?,Limpio,Mujer,14 a 18,PORTEZUELO
NNA002,P42,¿En qué temas te gustaría ayudar a mejorar tu comuna?,Medioambiente,Mujer,14 a 18,PORTEZUELO
NNA002,P43,¿Qué mensaje le darías al Alcalde o Concejo Municipal?,Escuchar a los jóvenes,Mujer,14 a 18,PORTEZUELO
NNA002,P44,"Si fueras Alcalde/sa, ¿Qué harías primero?",Empezar un plan de seguridad y control de violencia física en centros educativos,Mujer,14 a 18,PORTEZUELO
NNA002,P45,¿Te gustaría participar en proyectos comunales?,Sí,Mujer,14 a 18,PORTEZUELO
NNA002,P45,¿Te gustaría participar en proyectos comunales?,en la municipalidad,Mujer,14 a 18,PORTEZUELO
NNA002,P46,¿Qué sueño tienes para Rengo en 10 años?,Más verde,Mujer,14 a 18,PORTEZUELO
NNA003,P00,Marca temporal,2025-10-22 11:31:14.398000,Hombre,14 a 18,CHANQUEAHUE
NNA003,P01,Nombre Completo,Javier Nicolás Hidalgo barrera,Hombre,14 a 18,CHANQUEAHUE
NNA003,P02,Género,Hombre,Hombre,14 a 18,CHANQUEAHUE
NNA003,P03,Seleccione su Rango de edad,14 a 18,Hombre,14 a 18,CHANQUEAHUE
NNA003,P04,¿En qué sector o localidad de Rengo resides actualmente?,CHANQUEAHUE,Hombre,14 a 18,CHANQUEAHUE
NNA003,P05,Sector/Barrio/Villa donde vives:  ,Juan Pablo segundo,Hombre,14 a 18,CHANQUEAHUE
NNA003,P06,¿A qué Colegio/Liceo asiste o asistió en el último periodo?,Liceo Luis Urbina Flores,Hombre,14 a 18,CHANQUEAHUE
NNA003,P07,¿Cómo describirías el sentido de identidad local en Rengo?,Fuerte,Hombre,14 a 18,CHANQUEAHUE
NNA003,P08,"¿Perteneces y/o participas en Agrupaciones Comunitarios, Culturales, Deportivas?",Sí,Hombre,14 a 18,CHANQUEAHUE
NNA003,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Salud y bienestar,Hombre,14 a 18,CHANQUEAHUE
NNA003,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Seguridad pública y orden,Hombre,14 a 18,CHANQUEAHUE
NNA003,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Infraestructura y conectividad,Hombre,14 a 18,CHANQUEAHUE
NNA003,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Cultura,Hombre,14 a 18,CHANQUEAHUE
NNA003,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),deporte y recreación,Hombre,14 a 18,CHANQUEAHUE
NNA003,P10,¿Compartes con tus vecinos en actividades recreativas?,No,Hombre,14 a 18,CHANQUEAHUE
NNA003,P11,¿Has visto o vivido situaciones de violencia en tu colegio?,Rara vez,Hombre,14 a 18,CHANQUEAHUE
NNA003,P12,¿Qué tipo de situaciones se presentan con más frecuencia?,Burlas o acoso verbal,Hombre,14 a 18,CHANQUEAHUE
NNA003,P13,¿A quién acudirías si sufres o ves una situación de violencia escolar?,Profesor/a o inspector/a,Hombre,14 a 18,CHANQUEAHUE
NNA003,P14,¿Te sientes seguro/a al caminar por tu barrio?,Muy seguro/a,Hombre,14 a 18,CHANQUEAHUE
NNA003,P15,¿Qué situaciones te hacen sentir inseguro/a en tu barrio?,Falta de iluminación,Hombre,14 a 18,CHANQUEAHUE
NNA003,P16,¿Cómo llegas al colegio o liceo?,En transporte escolar,Hombre,14 a 18,CHANQUEAHUE
NNA003,P17,¿Te sientes seguro/a en tu barrio?,Muy seguro/a,Hombre,14 a 18,CHANQUEAHUE
NNA003,P18,¿Qué lugares visitas más en tu comuna?,Plazas o parques,Hombre,14 a 18,CHANQUEAHUE
NNA003,P19,¿Qué cosas te hacen sentir feliz en tu barrio o comuna?,La naturaleza,Hombre,14 a 18,CHANQUEAHUE
NNA003,P20,¿Qué problemas o cosas negativas notas donde vives?,Falta de actividades,Hombre,14 a 18,CHANQUEAHUE
NNA003,P21,¿Cómo calificas la limpieza y orden de tu barrio?,Aceptable,Hombre,14 a 18,CHANQUEAHUE
NNA003,P22,¿Participas en actividades del municipio o tu colegio?,"Sí, frecuentemente",Hombre,14 a 18,CHANQUEAHUE
NNA003,P23,¿Dónde te gusta pasar tu tiempo libre?,En casa,Hombre,14 a 18,CHANQUEAHUE
NNA003,P24,¿Qué tanto te sientes escuchado/a por los adultos?,A veces,Hombre,14 a 18,CHANQUEAHUE
NNA003,P25,¿Qué calificación le pondrías a tu comuna como lugar para vivir?,3.0,Hombre,14 a 18,CHANQUEAHUE
NNA003,P26,¿Cómo era tu barrio cuando eras más pequeño/a?,No lo recuerdo,Hombre,14 a 18,CHANQUEAHUE
NNA003,P27,¿Dónde jugabas cuando eras pequeño/a?,En el patio de mi casa,Hombre,14 a 18,CHANQUEAHUE
NNA003,P28,¿Con quién pasabas más tiempo cuando eras niño/a?,Con familia,Hombre,14 a 18,CHANQUEAHUE
NNA003,P29,¿Qué cosas te hacían feliz antes?,Naturaleza,Hombre,14 a 18,CHANQUEAHUE
NNA003,P30,¿Qué cosas no te gustaban cuando eras pequeño/a?,Basura,Hombre,14 a 18,CHANQUEAHUE
NNA003,P31,¿Participabas en actividades escolares o municipales?,Sí,Hombre,14 a 18,CHANQUEAHUE
NNA003,P32,¿Qué lugares de Rengo te gustaban más antes?,Feria,Hombre,14 a 18,CHANQUEAHUE
NNA003,P33,¿Qué cambios has notado desde entonces?,Más autos,Hombre,14 a 18,CHANQUEAHUE
NNA003,P34,¿Crees que tu barrio cambió para mejor o peor?,Igual,Hombre,14 a 18,CHANQUEAHUE
NNA003,P35,¿Qué recuerdos bonitos guardas de antes?,Naturaleza,Hombre,14 a 18,CHANQUEAHUE
NNA003,P36,¿Qué sientes al ver esta imagen?,Seguridad?,Hombre,14 a 18,CHANQUEAHUE
NNA003,P37,¿Cómo te gustaría que fuera tu comuna en el futuro?,Con más tecnología,Hombre,14 a 18,CHANQUEAHUE
NNA003,P38,¿Qué espacios nuevos te gustaría tener cerca?,Centros juveniles,Hombre,14 a 18,CHANQUEAHUE
NNA003,P39,¿Qué actividades te gustaría que existieran para jóvenes?,Arte,Hombre,14 a 18,CHANQUEAHUE
NNA003,P40,¿Qué tipo de transporte te gustaría usar en el futuro?,Bus gratuito,Hombre,14 a 18,CHANQUEAHUE
NNA003,P41,¿Cómo imaginas tu barrio ideal?,Verde,Hombre,14 a 18,CHANQUEAHUE
NNA003,P42,¿En qué temas te gustaría ayudar a mejorar tu comuna?,Cultura,Hombre,14 a 18,CHANQUEAHUE
NNA003,P43,¿Qué mensaje le darías al Alcalde o Concejo Municipal?,Escuchar a los jóvenes,Hombre,14 a 18,CHANQUEAHUE
NNA003,P44,"Si fueras Alcalde/sa, ¿Qué harías primero?",pongo más lugares recreativos. Patios de comida o cosas asi,Hombre,14 a 18,CHANQUEAHUE
NNA003,P45,¿Te gustaría participar en proyectos comunales?,Sí,Hombre,14 a 18,CHANQUEAHUE
NNA003,P45,¿Te gustaría participar en proyectos comunales?,en la municipalidad,Hombre,14 a 18,CHANQUEAHUE
NNA003,P46,¿Qué sueño tienes para Rengo en 10 años?,Más moderno,Hombre,14 a 18,CHANQUEAHUE
NNA004,P00,Marca temporal,2025-10-22 14:46:06.278000,Mujer,18 a 20,LOS GOMEROS
NNA004,P01,Nombre Completo,Emilia del pilar valenzuela ortiz,Mujer,18 a 20,LOS GOMEROS
NNA004,P02,Género,Mujer,Mujer,18 a 20,LOS GOMEROS
NNA004,P03,Seleccione su Rango de edad,18 a 20,Mujer,18 a 20,LOS GOMEROS
NNA004,P04,¿En qué sector o localidad de Rengo resides actualmente?,LOS GOMEROS,Mujer,18 a 20,LOS GOMEROS
NNA004,P05,Sector/Barrio/Villa donde vives:  ,Ruta H-50 sector apalta,Mujer,18 a 20,LOS GOMEROS
NNA004,P06,¿A qué Colegio/Liceo asiste o asistió en el último periodo?,Escuela Apalta,Mujer,18 a 20,LOS GOMEROS
NNA004,P07,¿Cómo describirías el sentido de identidad local en Rengo?,Fuerte,Mujer,18 a 20,LOS GOMEROS
NNA004,P08,"¿Perteneces y/o participas en Agrupaciones Comunitarios, Culturales, Deportivas?",No,Mujer,18 a 20,LOS GOMEROS
NNA004,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Seguridad pública y orden,Mujer,18 a 20,LOS GOMEROS
NNA004,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Empleo y desarrollo económico,Mujer,18 a 20,LOS GOMEROS
NNA004,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Medio ambiente y sustentabilidad,Mujer,18 a 20,LOS GOMEROS
NNA004,P10,¿Compartes con tus vecinos en actividades recreativas?,Sí,Mujer,18 a 20,LOS GOMEROS
NNA004,P11,¿Has visto o vivido situaciones de violencia en tu colegio?,Rara vez,Mujer,18 a 20,LOS GOMEROS
NNA004,P12,¿Qué tipo de situaciones se presentan con más frecuencia?,Aislamiento o exclusión,Mujer,18 a 20,LOS GOMEROS
NNA004,P13,¿A quién acudirías si sufres o ves una situación de violencia escolar?,Profesor/a o inspector/a,Mujer,18 a 20,LOS GOMEROS
NNA004,P14,¿Te sientes seguro/a al caminar por tu barrio?,Poco seguro/a,Mujer,18 a 20,LOS GOMEROS
NNA004,P15,¿Qué situaciones te hacen sentir inseguro/a en tu barrio?,Falta de iluminación,Mujer,18 a 20,LOS GOMEROS
NNA004,P16,¿Cómo llegas al colegio o liceo?,A pie,Mujer,18 a 20,LOS GOMEROS
NNA004,P17,¿Te sientes seguro/a en tu barrio?,Poco seguro/a,Mujer,18 a 20,LOS GOMEROS
NNA004,P18,¿Qué lugares visitas más en tu comuna?,Plazas o parques,Mujer,18 a 20,LOS GOMEROS
NNA004,P19,¿Qué cosas te hacen sentir feliz en tu barrio o comuna?,Las actividades,Mujer,18 a 20,LOS GOMEROS
NNA004,P20,¿Qué problemas o cosas negativas notas donde vives?,Pocas áreas verdes,Mujer,18 a 20,LOS GOMEROS
NNA004,P21,¿Cómo calificas la limpieza y orden de tu barrio?,Aceptable,Mujer,18 a 20,LOS GOMEROS
NNA004,P22,¿Participas en actividades del municipio o tu colegio?,A veces,Mujer,18 a 20,LOS GOMEROS
NNA004,P23,¿Dónde te gusta pasar tu tiempo libre?,En casa,Mujer,18 a 20,LOS GOMEROS
NNA004,P24,¿Qué tanto te sientes escuchado/a por los adultos?,A veces,Mujer,18 a 20,LOS GOMEROS
NNA004,P25,¿Qué calificación le pondrías a tu comuna como lugar para vivir?,3.0,Mujer,18 a 20,LOS GOMEROS
NNA004,P26,¿Cómo era tu barrio cuando eras más pequeño/a?,Más tranquilo,Mujer,18 a 20,LOS GOMEROS
NNA004,P27,¿Dónde jugabas cuando eras pequeño/a?,En el patio de mi casa,Mujer,18 a 20,LOS GOMEROS
NNA004,P28,¿Con quién pasabas más tiempo cuando eras niño/a?,Con familia,Mujer,18 a 20,LOS GOMEROS
NNA004,P29,¿Qué cosas te hacían feliz antes?,Juegos,Mujer,18 a 20,LOS GOMEROS
NNA004,P30,¿Qué cosas no te gustaban cuando eras pequeño/a?,Pocas plazas,Mujer,18 a 20,LOS GOMEROS
NNA004,P31,¿Participabas en actividades escolares o municipales?,A veces,Mujer,18 a 20,LOS GOMEROS
NNA004,P32,¿Qué lugares de Rengo te gustaban más antes?,Feria,Mujer,18 a 20,LOS GOMEROS
NNA004,P33,¿Qué cambios has notado desde entonces?,Menos áreas verdes,Mujer,18 a 20,LOS GOMEROS
NNA004,P34,¿Crees que tu barrio cambió para mejor o peor?,Igual,Mujer,18 a 20,LOS GOMEROS
NNA004,P35,¿Qué recuerdos bonitos guardas de antes?,Juegos con amigos/as,Mujer,18 a 20,LOS GOMEROS
NNA004,P36,¿Qué sientes al ver esta imagen?,Tranquilidad Alegria,Mujer,18 a 20,LOS GOMEROS
NNA004,P37,¿Cómo te gustaría que fuera tu comuna en el futuro?,Más segura,Mujer,18 a 20,LOS GOMEROS
NNA004,P38,¿Qué espacios nuevos te gustaría tener cerca?,Plazas,Mujer,18 a 20,LOS GOMEROS
NNA004,P39,¿Qué actividades te gustaría que existieran para jóvenes?,Deportes,Mujer,18 a 20,LOS GOMEROS
NNA004,P40,¿Qué tipo de transporte te gustaría usar en el futuro?,Bus gratuito,Mujer,18 a 20,LOS GOMEROS
NNA004,P41,¿Cómo imaginas tu barrio ideal?,Seguro,Mujer,18 a 20,LOS GOMEROS
NNA004,P42,¿En qué temas te gustaría ayudar a mejorar tu comuna?,Medioambiente,Mujer,18 a 20,LOS GOMEROS
NNA004,P43,¿Qué mensaje le darías al Alcalde o Concejo Municipal?,Escuchar a los jóvenes,Mujer,18 a 20,LOS GOMEROS
NNA004,P44,"Si fueras Alcalde/sa, ¿Qué harías primero?",Arreglaria las plazas de los sectores mas rurales colocaria juegos para los niños mas actividades y lo principal mas seguridad,Mujer,18 a 20,LOS GOMEROS
NNA004,P45,¿Te gustaría participar en proyectos comunales?,Sí,Mujer,18 a 20,LOS GOMEROS
NNA004,P45,¿Te gustaría participar en proyectos comunales?,en mi barrio,Mujer,18 a 20,LOS GOMEROS
NNA004,P46,¿Qué sueño tienes para Rengo en 10 años?,Más moderno,Mujer,18 a 20,LOS GOMEROS
NNA005,P00,Marca temporal,2025-10-22 16:23:41.060000,Hombre,6 a 12,ROSARIO
NNA005,P01,Nombre Completo,Benjamín Sepúlveda soto,Hombre,6 a 12,ROSARIO
NNA005,P02,Género,Hombre,Hombre,6 a 12,ROSARIO
NNA005,P03,Seleccione su Rango de edad,6 a 12,Hombre,6 a 12,ROSARIO
NNA005,P04,¿En qué sector o localidad de Rengo resides actualmente?,ROSARIO,Hombre,6 a 12,ROSARIO
NNA005,P05,Sector/Barrio/Villa donde vives:  ,Sector apalta,Hombre,6 a 12,ROSARIO
NNA005,P06,¿A qué Colegio/Liceo asiste o asistió en el último periodo?,Colegio rosario college,Hombre,6 a 12,ROSARIO
NNA005,P07,¿Cómo describirías el sentido de identidad local en Rengo?,Débil,Hombre,6 a 12,ROSARIO
NNA005,P08,"¿Perteneces y/o participas en Agrupaciones Comunitarios, Culturales, Deportivas?",Sí,Hombre,6 a 12,ROSARIO
NNA005,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Salud y bienestar,Hombre,6 a 12,ROSARIO
NNA005,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Educación y capacitación,Hombre,6 a 12,ROSARIO
NNA005,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Cultura,Hombre,6 a 12,ROSARIO
NNA005,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),deporte y recreación,Hombre,6 a 12,ROSARIO
NNA005,P10,¿Compartes con tus vecinos en actividades recreativas?,Sí,Hombre,6 a 12,ROSARIO
NNA005,P11,¿Has visto o vivido situaciones de violencia en tu colegio?,Rara vez,Hombre,6 a 12,ROSARIO
NNA005,P12,¿Qué tipo de situaciones se presentan con más frecuencia?,Ciberacoso (por redes sociales),Hombre,6 a 12,ROSARIO
NNA005,P13,¿A quién acudirías si sufres o ves una situación de violencia escolar?,Profesor/a o inspector/a,Hombre,6 a 12,ROSARIO
NNA005,P14,¿Te sientes seguro/a al caminar por tu barrio?,Poco seguro/a,Hombre,6 a 12,ROSARIO
NNA005,P15,¿Qué situaciones te hacen sentir inseguro/a en tu barrio?,Presencia de pandillas o delincuencia,Hombre,6 a 12,ROSARIO
